County,Precinct,First Expression,Final Expression,SDE
,Total,126,80,1.1400
Bremer,WAVERLY WARD III,12,0,0
,CITY OF TRIPOLI/FREMONT,17,19,0.4533
,WAVERLY WARD II/NE 1/4 SEC 36 WASHINGTON TWP,16,0,0
,WAVERLY WARD IV,29,31,0.4533
,WAVERLY WARD I/E WASHINGTON TWP,26,26,0.2267
,CITY OF SUMNER/SUMNER TWP/DAYTON TWP,19,21,0.4533
,CITY OF JANESVILLE/JACKSON TWP,11,12,0.2267
,WAVERLY WARD V/W WASHINGTON TWP,31,32,0.2267
,CITY OF FREDERIKA- FREDERIKA & LEROY TWP,5,5,0
,CITY OF DENVER/JEFFERSON TWP,24,25,0.4533
,LAFAYETTE TWP/WARREN TWPS,7,7,0.2267
,Total,197,178,2.7200
Buchanan,Jesup,7,5,0
,Winthrop,18,19,0.2737
,Middlefield-Newton,7,7,0.1368
,Perry-Westburg,8,9,0.2737
,Independence 1st Ward,28,30,0.5474
,Quasqueton,8,10,0.1368
,Independence 4th Ward,17,17,0.2737
,Brandon,8,9,0.1368
,Rowley,8,8,0.1368
,Aurora,20,22,0.4105
,Fairbank,17,17,0.2737
,Total,146,153,2.5999
Buena Vista,ALTA NOKOMIS ELK,20,20,0.4000
,STORM LAKE 01,1,0,0
,STORM LAKE 02,11,13,0.2000
,STORM LAKE 04,16,19,0.2000
,NEWELL NEWELL PROVIDENCE,4,0,0
,SRL;LGB;RELS;MAP,11,11,0.2000
,Total,63,63,1.0000
Butler,5-AP,7,7,0.1167
,2-CL,13,14,0.2333
,4-AL,9,9,0.1167
,6-SR,12,12,0.2333
,8-NH,16,16,0.2333
,1-GR,15,15,0.2333
,3-DU,2,0,0
,7-PB,13,13,0.2333
,Total,87,86,1.3999
Calhoun,Sherman,6,7,0.0833
,Greenfield & Lincoln 2,2,0,0
,Center- Logan- TL- GA- L,4,4,0.0833
,Cedar,1,0,0
,Rockwell City,10,10,0.2500
,Reading,1,0,0
,Butler- Williams,7,9,0.1667
,Calhoun- Jackson- EG- LK,12,12,0.2500
,Lincoln 1,8,9,0.1667
,Total,51,51,1.0000
Carroll,Glidden-Richland,4,0,0
,Union,16,16,0.2200
,Carroll Ward Three &amp; S1/2 Maple River Twp,13,13,0.2200
,Carroll Ward Four,28,28,0.4400
,Wheatland-Kniest,2,0,0
,Carroll Ward One,38,44,0.8800
,Eden,6,7,0.1100
,Ewoldt,6,6,0.1100
,Pleasant Valley-Newton,4,4,0.1100
,Sheridan-Grant-Jasper,10,10,0.2200
,Total,127,128,2.3100
Cass,Atlantic 3,13,13,0.2400
,Noble- Pleasant Twp/Griswold,6,7,0.1200
,Brighton- Grove- Pymosa- Washington Twp/Marne,8,9,0.1200
,Enda- Victoria Twp,0,0,0
,Benton- Franklin Twp/Wiota,1,0,0
,Bear Grove- Cass Twp/Lewis,7,7,0.1200
,Massena Twp/Massena City,5,5,0.1200
,Atlantic 4,5,0,0
,Grant- Lincoln Twp/Anita,10,10,0.1200
,Union Twp/Cumberland,0,0,0
,Atlantic 1,3,9,0.1200
,Total,58,60,0.9600
Cedar,WEST BRANCH 1,0,0,0
,CASS/CENTER/IOWA/ROCHESTER,8,0,0
,FARMINGTON/SUGAR CREEK,7,0,0
,MASSILLON/SPRINGFIELD,9,10,0.1714
,LINN/PIONEER,21,21,0.3429
,GOWER/SPRINGDALE,22,23,0.3429
,FREMONT/RED OAK,10,12,0.1714
,DAYTON/FAIRFIELD,4,0,0
,TIPTON 3,12,13,0.1714
,TIPTON 2,10,10,0.1714
,Total,103,89,1.3714
Cerro Gordo,Clear Lake - Grant - Union,21,23,0.3543
,Mason City W-1 P-1,9,0,0
,Mason City W-3 P-1,22,23,0.3543
,Mason City W-4 P-2,9,9,0.1771
,Mason City W-3 P-3,22,23,0.3543
,Clear Lake - Ward 2,21,21,0.3543
,Clear Lake - Ward 1,15,15,0.1771
,Geneseo Twp Pct,5,5,0.1771
,Mason City W-3 P-2,9,12,0.1771
,Mason City W-4 P-3,32,34,0.7086
,Clear Lake - Ward 3,21,21,0.3543
,Mason City W-1 P-2,14,17,0.3543
,Grimes - Thornton Pct,6,6,0.1771
,Mason City W-2 P-2,22,26,0.3543
,Mason City W-1 P-3,27,28,0.3543
,Portland - Owen - Dougherty,9,9,0.1771
,Lime Creek / Mason N Twps,6,0,0
,Lake / Lincoln Twps Pct,3,1,0
,Mt Vernon - Pl Valley Twps,2,0,0
,Total,275,273,4.6056
Cherokee,#1 Aurelia,3,9,0.2182
,#3 Quimby,9,10,0.2182
,#5 Cherokee Ward 1,19,20,0.3273
,Total,31,39,0.7637
Chickasaw,New Hampton Rural,4,4,0.0700
,Washington 1 Township,0,0,0
,Jacksonville-Utica,1,0,0
,Chickasaw,3,3,0.0700
,Bradford,13,13,0.2800
,Dresden-Fredericksburg,8,9,0.1400
,Stapleton,9,9,0.2100
,Deerfield-Washington 2,4,4,0.0700
,City of New Hampton Ward One,9,11,0.2100
,City of New Hampton Ward Two,2,0,0
,Total,53,53,1.0500
Clarke,Woodburn Precinct,3,0,0
,Middle Precinct,1,0,0
,Osceola 1st Ward Precinct,6,7,0.1600
,North East Precinct,10,10,0.1600
,Osceola 3rd Ward Precinct,6,0,0
,Osceola 2nd Ward Precinct,7,7,0.0800
,Total,33,24,0.4000
Clay,Spencer Ward 3,19,19,0.2824
,Spencer Ward 5,18,19,0.2824
,Spencer Ward 4,25,30,0.3765
,Lincoln-Clay,1,0,0
,Spencer Ward 1,11,11,0.1882
,Spencer Ward 2,14,14,0.2824
,Garfield-Herdland,6,8,0.0941
,Logan-Gillett Grove,3,6,0.0941
,Summit-Riverton-Sioux-Meadow,8,9,0.1882
,Total,105,116,1.7883
Clayton,BUENA VISTA,0,0,0
,COX CREEK-SPERRY,3,0,0
,READ,1,1,0
,LODOMILLO,5,5,0.1667
,BOARDMAN-HIGHLAND,28,28,0.3333
,MENDON,8,0,0
,JEFFERSON-MILLVILLE,22,29,0.5000
,CASS,14,14,0.1667
,ELK-MALLORY-VOLGA,7,8,0.1667
,GIARD-LUANA-MONONA,5,0,0
,FARMERSBURG-WAGNER,5,7,0.1667
,Total,98,92,1.5001
Clinton,ORANGE GRAND MOUND,7,9,0.2214
,SPRING ROCK WHEATLAND,4,7,0.2214
,CLINTON 4-2,29,33,0.6643
,CLINTON 3-2,48,52,0.8857
,WELTON WASHINGTON WELTON,7,8,0.2214
,CLINTON 1-2,14,18,0.4429
,CENTER TWP,1,0,0
,CLINTON 2-2,40,47,0.6643
,CLINTON 3-1,35,37,0.4429
,LIBERTY TORONTO,1,1,0
,WATERFORD CHARLOTTE,3,3,0
,SHARON LOST NATION,3,0,0
,LOW MOOR,1,1,0
,EDEN CAMANCHE TWP,3,3,0
,OLIVE GRANT CALAMUS,3,13,0.2214
,DEEP CREEK GOOSE LAKE,6,6,0.2214
,BLOOMFIELD BROOKFIELD DEL,7,7,0.2214
,CLINTON 1-1,12,16,0.4429
,CLINTON 4-1,25,27,0.4429
,CAMANCHE 2,19,22,0.6643
,CLINTON 2-1,9,0,0
,DEWITT 1,17,17,0.2214
,CAMANCHE 1,12,18,0.4429
,DEWITT 2,36,36,0.6643
,Total,342,381,7.3072
Crawford,SRK,9,9,0.1500
,Southeast,14,16,0.4500
,Denison Ward 1,17,22,0.3000
,Denison Ward 3-Goodrich Twp,27,29,0.6000
,Northeast,6,10,0.3000
,Total,73,86,1.8000
Dallas,WEST DES MOINES 221,84,101,0.8286
,WEST DES MOINES 225,42,54,0.8286
,WEST DES MOINES 223,28,29,0.4143
,CLIVE 5,40,52,0.4143
,DESOTO,2,2,0
,WAUKEE 4,32,39,0.4143
,SPRING VALLEY / DALLAS,17,17,0.4143
,UNION,12,13,0.4143
,WEST DES MOINES 224,5,5,0
,PERRY 2,18,28,0.4143
,URBANDALE 15,25,0,0
,LINCOLN /WASHINGTON /LINN,6,6,0
,URBANDALE 14,73,73,0.4143
,WAUKEE 5,42,51,0.4143
,ADEL 1,21,24,0.4143
,ADAMS,15,0,0
,BEAVER / DES MOINES,34,35,0.4143
,URBANDALE 13,58,58,0.4143
,ADEL 2,34,40,0.4143
,WEST DES MOINES 222,41,43,0.4143
,CLIVE 6,47,53,0.4143
,WAUKEE 1,39,39,0.4143
,WEST DES MOINES 226,18,0,0
,WEST DES MOINES 321,35,0,0
,PERRY 1,36,39,0.4143
,VAN METER,30,34,0.4143
,WAUKEE 6,40,46,0.4143
,WAUKEE 3,31,46,0.4143
,WAUKEE 2,56,73,0.8286
,Total,961,"1,000",10.3575
Davis,Bloomfield Ward 1,9,11,0.1500
,Bloomfield Ward 2,2,0,0
,Central,10,10,0.1200
,Southwest,8,9,0.1500
,Northwest,9,9,0.1200
,Southeast,7,7,0.1200
,Northeast,5,5,0.0900
,Total,50,51,0.7500
Decatur,GG/HP/WE/Garden Grove/LeRoy,3,3,0.0941
,BL/FA/Lamoni,19,0,0
,FR/LC/Van Wert/Weldon,3,3,0.0941
,GR/RL/Grand River,2,2,0.0471
,BU/HA/MO/NB/Davis City/Pleasanton,0,0,0
,Total,27,8,0.2353
Delaware,South Fork/Union,11,11,0.1500
,Delaware,6,6,0.1500
,Delhi/Delaware Corp,9,11,0.3000
,Oneida/N Fork/Bremen,4,0,0
,Manchester Ward 2,8,0,0
,Manchester Ward 3,15,15,0.3000
,Milo/Prairie,10,10,0.2250
,Colony,12,12,0.2250
,Manchester Ward 1,9,9,0.1500
,Adams/Hazel Green,3,0,0
,Total,87,74,1.5000
Des Moines,PCT PW,3,12,0.3600
,PCT HJ,9,0,0
,PCT MY,22,25,0.3600
,PCT FM,16,17,0.3600
,PCT 9,33,42,0.7200
,PCT 6,6,0,0
,PCT UNION,5,0,0
,PCT WB,22,24,0.3600
,PCT 8,35,39,0.7200
,PCT 2,26,31,0.7200
,PCT 7,39,42,0.3600
,PCT 4,20,21,0.3600
,Total,236,253,4.3200
Dickinson,Precinct No. 14,6,7,0.1250
,Precinct No. 04,2,0,0
,Precinct No. 12,7,7,0.1250
,Precinct No. 03,14,14,0.2500
,Precinct No. 02,18,19,0.2500
,Precinct No. 06,3,2,0
,Precinct No. 09,0,0,0
,Precinct No. 07,4,4,0
,Precinct No. 08,15,15,0.2500
,Precinct No. 11,9,10,0.1250
,Precinct No. 13,10,16,0.2500
,Precinct No. 01,7,8,0.1250
,Total,95,102,1.5000
Dubuque,Dubuque_10,31,42,0.5333
,Dubuque_01,65,68,0.8000
,Dubuque_33,26,28,0.5333
,Dubuque_04,44,59,1.0667
,Dubuque_19,46,50,0.5333
,Dubuque_11,30,30,0.5333
,Dubuque_09a,28,35,0.2667
,Dubuque_32,35,36,0.5333
,Dubuque_16,14,4,0
,Dubuque_05,43,53,0.8000
,Dubuque_12,49,52,1.0667
,Dubuque_06,30,30,0.5333
,Dubuque_08,36,42,0.5333
,Dubuque_43,38,38,0.5333
,Dubuque_17,9,0,0
,Dubuque_18,36,40,0.2667
,Dubuque_13,10,13,0
,Dubuque_41,19,20,0.5333
,Dubuque_35,7,0,0
,Dubuque_37,13,13,0.2667
,Dubuque_42,26,27,0.5333
,Dubuque_44,2,2,0
,Total,637,682,9.8665
Emmet,Estherville Ward 3,3,0,0
,HL-TM-Wallingford,3,5,0.1143
,EL-LN-Dolliver,1,1,0
,Estherville Ward 2,11,11,0.2286
,AG-IL-Armstrong,2,0,0
,Estherville Ward 5,2,0,0
,Estherville Ward 4,0,0,0
,Estherville Ward 1,7,7,0.1143
,Total,29,24,0.4572
Fayette,FAIRFIELD-PUTNAM TWP,9,9,0.1200
,ILLYRIA TWP,1,0,0
,BANKS-FREMONT TWP,6,10,0.1200
,DOVER TWP,0,0,0
,WEST UNION - WARD 1,8,8,0.1200
,HARLAN TWP,1,1,0.1200
,ORAN TWP,3,0,0
,JEFFERSON TWP,6,7,0.1200
,FAIRBANK INC,7,11,0.2400
,WEST UNION - WARD 3,7,7,0.1200
,SCOTT TWP,2,0,0
,WEST UNION - WARD 2,3,0,0
,EDEN TWP,2,6,0.1200
,PLEASANT VALLEY TWP,3,0,0
,CLERMONT TWP,5,5,0.1200
,OELWEIN - WARD 2,9,10,0.2400
,WESTFIELD TWP,6,0,0
,OELWEIN - WARD 3,12,16,0.3600
,OELWEIN - WARD 4,26,29,0.3600
,Total,116,119,2.1600
Floyd,Floyd-Cedar-Niles,6,0,0
,St Charles-Riverton,20,20,0.2222
,Scott-Union-Pleasant Grove,7,7,0.2222
,Charles City Corp/CC2,30,30,0.5556
,Rock Grove-Rudd,17,17,0.3333
,Charles City Corp/CC1,21,21,0.3333
,Charles City Corp/CC3,14,15,0.2222
,Total,115,110,1.8888
Franklin,RICHLAND/ ROSS/ WEST FORK,5,0,0
,OAKLAND/ MORGAN,2,0,0
,MARION,3,3,0.0556
,WEST MOTT TOWNSHIP,4,5,0.1111
,HAMILTON/ LEE/ REEVE,2,4,0.0556
,HAMPTON 2,6,7,0.1111
,GRANT/ OSCEOLA,3,3,0.1111
,GENEVA/ INGHAM/ EAST MOTT,4,4,0.1111
,HAMPTON 1,5,6,0.1667
,HAMPTON 3,1,0,0
,HAMPTON 4,10,12,0.2222
,Total,45,44,0.9445
Fremont,Farragut,6,7,0.1500
,Riverton,0,0,0
,Sidney,18,22,0.2250
,Green Riverside Scott,9,9,0.1500
,Total,33,38,0.5250
Greene,West Precinct,0,0,0
,Central Precinct,8,9,0.1200
,North Precinct,11,11,0.1200
,Jefferson 1 Precinct,10,10,0.1200
,Jefferson 2 Precinct,5,0,0
,East Precinct,7,9,0.1200
,Jefferson 3 Precinct,13,14,0.2400
,Total,54,53,0.7200
Grundy,PRECINCT 3,4,4,0.1000
,PRECINCT 1,7,12,0.2000
,PRECINCT 6,16,22,0.4000
,PRECINCT 2,0,0,0
,PRECINCT 4,0,0,0
,Total,27,38,0.7000
Guthrie,Black,2,0,0
,Red,2,0,0
,Purple,17,17,0.2571
,Blue,11,0,0
,Brown,6,6,0.0857
,Green,3,0,0
,Total,41,23,0.3428
Hamilton,PCT 1 CASS FREEDOM FREMONT INDEPENDENCE,10,10,0.2000
,PCT 2 BLAIRSBURG LIBERTY WILLIAMS,6,8,0.2000
,PCT 4 LYON ELLSWORTH,13,13,0.2000
,Webster City 3,16,19,0.4000
,Webster City 2,20,21,0.4000
,Webster City 1,20,21,0.3000
,PCT 3 CLEAR LAKE HAMILTON MARION WEBSTER,13,14,0.2000
,PCT 5 LINCOLN ROSE GROVE SCOTT,1,1,0
,Total,99,107,1.9000
Hancock,Precinct 04,8,8,0.2000
,Precinct 02,0,0,0
,Precinct 08,0,0,0
,Precinct 03,2,3,0.1000
,Precinct 06,14,15,0.3000
,Precinct 10,0,0,0
,Precinct 07,2,0,0
,Precinct 09,2,4,0.1000
,Precinct 01,10,11,0.1000
,Total,38,41,0.8000
Hardin,Eldora City,14,14,0.2160
,Alden/Buckeye,15,15,0.2880
,Etna/Clay,15,15,0.2880
,Iowa Falls #1,22,24,0.3600
,Concord/Sherman/Grant/Tip,14,18,0.2880
,Eldora/Pleasant/Prov/Unio,4,0,0
,Hardin/Ellis/Jackson,10,10,0.1440
,Total,94,96,1.5840
Harrison,Precinct #08-Modale,0,0,0
,Precinct #01-Little Sioux,0,0,0
,Precinct #06-Boyer/Lincoln,3,0,0
,Precinct #05-Magnolia,8,8,0.0933
,Precinct #13-Persia,8,8,0.0933
,Precinct #03-Dunlap,12,12,0.1867
,Precinct #11 - St. John,8,10,0.1867
,Precinct #02-Pisgah,4,4,0.0933
,Precinct #10 - Logan,9,12,0.2800
,Precinct #04-Mondamin,0,0,0
,Total,52,54,0.9333
Henry,Southwest Precinct,11,11,0.1333
,Mt. Pleasant Ward 1,6,0,0
,Northeast Precinct,3,3,0
,Northwest Precinct,11,16,0.2000
,Mt. Pleasant Ward 2,17,17,0.2667
,Central Precinct,32,35,0.4667
,Mt. Pleasant Ward 3,12,14,0.2000
,Total,92,96,1.2667
Howard,Albion/Forest City,5,6,0.1429
,Cresco 2,11,15,0.2857
,Afton/Howard/Paris,6,6,0.2857
,Jamestown/Oakdale,1,0,0
,Cresco 3,0,0,0
,Saratoga/Howard Ctr/Chest,4,4,0.1429
,New Oregon,1,0,0
,Vernon Springs,5,6,0.1429
,Total,33,37,1.0001
Humboldt,Humboldt 2-Beaver-South Norway,17,18,0.2667
,Dakota City-Grove,8,10,0.1778
,Delana-Wacousta-North Rutland,5,5,0.0889
,Humboldt 3-South Rutland,11,14,0.1778
,North Lake-East Vernon,1,1,0.0889
,Humboldt 1-Corinth-South Weaver,18,19,0.2667
,South Lake-North Norway,0,0,0
,Total,60,67,1.0668
Ida,City of Holstein,23,26,0.4500
,Ida Grove Ward 1,2,4,0.1500
,Ida Grove Ward 3,7,7,0.1500
,Ida Grove Ward 2,4,5,0.1500
,City of Arthur,2,0,0
,City of Battle Creek & Grant Township,4,6,0
,Total,42,48,0.9000
Iowa,English II,15,15,0.2000
,Honey Creek/Marengo Rural,4,6,0.1000
,Dayton/English I,7,7,0.1000
,Lenox/Iowa,25,28,0.4000
,Williamsburg,27,30,0.5000
,Marengo City,15,15,0.3000
,Fillmore/Greene,3,2,0
,Hilton/Washington,12,13,0.2000
,Pilot/Troy/York,1,0,0
,Hartford I/Sumner,5,7,0.1000
,Hartford II/Lincoln,8,8,0.1000
,Total,122,131,2.0000
Jackson,Jackson 01,28,28,0.5143
,Jackson 02,11,11,0.1714
,Jackson 08,7,9,0.1714
,Jackson 05,9,9,0.1714
,Jackson 16,27,30,0.3429
,Jackson 11,9,10,0.1714
,Jackson 15,10,11,0.1714
,Jackson 07,13,13,0.1714
,Jackson 06,12,12,0.1714
,Jackson 14,8,9,0.1714
,Jackson 13,7,10,0.1714
,Jackson 12,3,3,0.1714
,Jackson 09,12,14,0.1714
,Total,156,169,2.7426
Jasper,Newton 3-1,18,27,0.4600
,Colfax Ward 1,4,0,0
,Newton 2-2,19,19,0.2300
,Newton 2-1,22,26,0.4600
,Indep/Malaka/Mariposa,19,27,0.3450
,Clear Creek/Poweshiek,14,14,0.2300
,Newton 3-2,10,10,0.2300
,Colfax Ward 3,2,0,0
,Palo Alto,7,8,0.1150
,Mound Prairie/Washington,6,0,0
,Fairview,28,28,0.4600
,Newton 4-1,25,28,0.3450
,Newton 1-2,10,11,0.2300
,Newton 1-1,13,15,0.3450
,Des Moines,8,11,0.2300
,HG/K/RC/BV/RL,25,25,0.3450
,Total,230,249,4.0250
Jefferson,Fairfield 1st Ward,36,50,0.4364
,Fairfield 3rd Ward,1,0,0
,Blackhawk-Polk-Packwood,5,4,0
,Center-Cedar-Maharishi Vedic City,35,0,0
,Fairfield 4th Ward,22,0,0
,Fairfield 5th Ward,22,0,0
,Fairfield 2nd Ward,41,0,0
,Des Moines-Liberty-Libertyville,1,1,0
,Total,163,55,0.4364
Johnson,IOWA CITY 21,13,0,0
,IOWA CITY 18,23,0,0
,GRAHAM TOWNSHIP,10,0,0
,HARDIN TOWNSHIP,6,0,0
,NEWPORT TOWNSHIP,63,66,0.4050
,PENN/ EAST LUCAS NORTH,87,0,0
,UNION TOWNSHIP,16,20,0
,CEDAR TOWNSHIP,5,3,0
,BIG GROVE TOWNSHIP,26,29,0.8100
,JEFFERSON EAST/SHUEYVILLE,26,0,0
,IOWA CITY 11,21,0,0
,CORALVILLE 01,26,0,0
,IOWA CITY 20,19,0,0
,IOWA CITY 19,9,0,0
,IOWA CITY 03,10,0,0
,IOWA CITY 12/EAST LUCAS SE,24,0,0
,IOWA CITY 05,29,0,0
,IOWA CITY 16,56,0,0
,IOWA CITY 02,46,0,0
,IOWA CITY 09,52,0,0
,CORALVILLE 03,34,35,0.4050
,LIBERTY-PLEASANT VALLEY,7,0,0
,FREMONT-LINCOLN (INCLUDES,8,0,0
,WEST LUCAS TOWNSHIP,13,14,0.4050
,HILLS,9,0,0
,OXFORD TOWNSHIP/OXFORD,19,0,0
,UNIVERSITY HEIGHTS,34,0,0
,SCOTT TWP-WEST BRANCH,12,4,0
,CLEAR CREEK/TIFFIN,52,58,0.8100
,CORALVILLE 02,64,70,0
,NORTH LIBERTY 03 (PW),50,66,0.8100
,NORTH LIBERTY 01,15,0,0
,IOWA CITY 08,50,0,0
,NORTH LIBERTY 02,30,39,0.4050
,CORALVILLE 06,81,81,0.8100
,CORALVILLE 07,56,33,0
,NORTH LIBERTY 05,20,3,0
,NORTH LIBERTY 04,25,33,0.4050
,IOWA CITY 24,82,0,0
,CORALVILLE 05,8,0,0
,IOWA CITY 15,4,0,0
,IOWA CITY 13,27,0,0
,IOWA CITY 22,37,0,0
,IOWA CITY 14,30,0,0
,IOWA CITY 04,65,0,0
,IOWA CITY 06,39,0,0
,CORALVILLE 04,26,0,0
,IOWA CITY 10/ELSW,23,4,0
,IOWA CITY 01,51,0,0
,IOWA CITY 07,53,0,0
,NL06/MADISON /CCN,39,0,0
,Total,"1,630",558,5.2650
Jones,OX-OXFORD,6,9,0.1600
,FV-FAIRVIEW,11,11,0.1600
,ANS-ANAMOSA SOUTH/JACKSON,25,29,0.4800
,GF-GREENFIELD,2,0,0
,RLWS-RICHLAND WASHINGTON,5,0,0
,SGMC-SC GRV/MADISON/CLAY,4,5,0.1600
,MN2-MONTICELLO 2,11,12,0.1600
,MN3-MONTICELLO 3,6,6,0.1600
,MN4-MONTICELLO 4,12,12,0.1600
,CGLW-CASTLE GRV/LOV/WAYN,20,23,0.4800
,MN1-MONTICELLO 1,0,0,0
,ANN-ANAMOSA NORTH/CASS,12,14,0.3200
,ROHA-ROME/HALE,6,6,0.1600
,Total,120,127,2.4000
Keokuk,Lafayette/Clear Creek,6,0,0
,English River/Liberty,7,7,0.1143
,Sigourney 4th Ward,4,0,0
,Sigourney 3rd Ward,0,0,0
,Sigourney 1st Ward,5,7,0.1143
,Jackson,1,1,0
,Warren,0,0,0
,Richland,6,6,0.1143
,Sigourney/Plank/Van Buren,7,7,0.1143
,Adams,0,0,0
,Sigourney 2nd Ward,8,0,0
,Benton/Steady Run,1,0,0
,Prairie,0,0,0
,What Cheer/Washington,2,3,0.1143
,Total,47,31,0.5715
Kossuth,AL3,12,12,0.1778
,AL1,13,13,0.1778
,HB- LY- LN- SF,0,0,0
,BT- FT- UN,9,10,0.1778
,IV- PC,2,2,0
,LC,2,2,0
,UN,1,1,0
,AL4,9,13,0.1778
,GF- WM,4,4,0.0889
,EG- GT- HS- SW,2,2,0.0889
,PC,1,1,0
,CR- IV- RV,16,16,0.2667
,AL2,25,25,0.4444
,GW- SN,1,1,0
,LV- SM,0,0,0
,GM- RM,8,8,0.1778
,BF- PT,6,8,0.1778
,Total,111,118,1.9557
Lee,Fort Madison 5,24,25,0.4200
,Keokuk 2,2,0,0
,Montrose,17,19,0.2800
,Franklin/Cedar/Marion/Harison,28,31,0.5600
,Fort Madison 2,13,16,0.2800
,Charleston/DSM/Van Buren,11,12,0.2800
,Keokuk 1,3,0,0
,Keokuk 3,9,9,0.1400
,Jefferson,7,7,0.1400
,Keokuk 4,4,0,0
,Keokuk 5,11,15,0.2800
,Keokuk 7,22,22,0.2800
,Green Bay/Washington,21,21,0.4200
,Keokuk 6,12,12,0.2800
,Fort Madison 4,18,18,0.4200
,Fort Madison 1,20,20,0.1400
,Total,222,227,3.9200
Linn,Linn,13,13,0
,Marion township,20,32,0.4395
,Robins,46,46,0.4395
,College,9,0,0
,Monroe 1,27,28,0.4395
,Cedar Rapids 11,62,68,0.4395
,Monroe 2,23,30,0.4395
,Boulder,12,12,0.4395
,Spring Grove,9,9,0.4395
,Fayette,6,0,0
,Marion 14,44,48,0.4395
,Fairfax Township,17,21,0.4395
,Hiawatha4,4,4,0
,Otter Creek,15,16,0
,Grant,14,15,0.4395
,Clinton,11,17,0.4395
,Buffalo,11,11,0.4395
,Cedar Rapids 21,30,32,0.4395
,Mount Vernon South,43,0,0
,Cedar Rapids 34,13,1,0
,Cedar Rapids 38,5,0,0
,Cedar Rapids 26,55,45,0
